ticker,sector,sub_industry,20R,60R,120R,Accel,Rank,RSI14,OffHigh,Entry_Momentum,Entry_Pullback,Price,MktCap,Is_New,as_of
LMT,Industrial,Aerospace/Defense,84.3,68.5,32.6,51.8,57.3,65.3,-14.6,True,False,574.11,132499275824.10608,False,2026-07-30
FNF,Financial,Insurance,81.1,47.7,29.7,51.4,47.2,58.0,-8.0,True,False,52.06,14012341902.031631,False,2026-07-30
ASAN,BamHI,AI 應用軟體 (AI Apps),81.5,65.2,30.5,51.1,54.6,56.4,-48.2,True,False,7.95,1832553080.6837397,False,2026-07-30
WTW,Financial,Insurance,97.4,93.2,46.5,50.9,75.3,80.2,-3.0,False,False,336.05,31739241181.870605,False,2026-07-30
AVY,"Consumer, Non-cyclical",Household Products/Wares,77.5,64.2,27.2,50.3,52.0,66.2,-10.5,True,False,174.82,13372049665.932312,True,2026-07-30
SSNC,Technology,Software,97.0,69.3,46.9,50.1,65.9,69.7,-13.4,True,False,77.17,18585162348.649704,False,2026-07-30
IT,Technology,Computers,91.5,49.0,41.7,49.8,54.6,57.0,-55.5,True,False,152.92,10238282743.28743,False,2026-07-30
STE,"Consumer, Non-cyclical",Healthcare-Products,81.9,63.3,32.5,49.4,54.7,63.9,-13.5,True,False,231.21,22533190847.11792,False,2026-07-30
REXR,Financial,REITS,90.9,66.4,43.4,47.5,62.1,64.8,-10.0,True,False,38.38,8558320245.838009,False,2026-07-30
J,Industrial,Engineering&Construction,75.2,45.3,28.8,46.4,44.7,55.0,-18.6,True,False,132.75,15675236687.25,True,2026-07-30
RITM,Financial,REITS,80.6,53.5,34.7,45.8,51.4,66.4,-13.7,True,False,9.87,5511477332.065387,False,2026-07-30
AMP,Financial,Diversified Finan Serv,90.4,78.7,44.7,45.7,67.4,69.4,-0.4,True,False,544.46,48130265942.38281,False,2026-07-30
TYL,Technology,Software,77.6,39.2,32.1,45.5,44.0,56.3,-47.2,True,False,323.31,13301152736.609192,False,2026-07-30
GDDY,Communications,Internet,91.4,70.4,46.4,45.0,65.0,60.4,-39.4,True,False,99.33,13152270344.959671,False,2026-07-30
SCI,"Consumer, Non-cyclical",Commercial Services,86.9,62.5,42.0,44.9,59.2,70.2,-2.3,True,False,85.29,11767546545.736221,False,2026-07-30
CMG,"Consumer, Cyclical",Retail,84.6,84.5,40.8,43.8,67.1,68.8,-12.5,True,False,38.52,49410914267.189026,True,2026-07-30
AN,"Consumer, Cyclical",Retail,94.2,55.2,50.5,43.7,61.1,58.9,-6.7,True,False,214.65,7182509697.517242,False,2026-07-30
HON,Industrial,Electronics,82.5,66.6,39.5,43.0,58.9,58.0,-6.5,True,False,241.91,76670958979.76898,True,2026-07-30
SCCO,Basic Materials,Mining,83.6,71.1,41.3,42.3,61.7,54.3,-14.2,False,True,185.0,145045997700.0,True,2026-07-30
FIG,BamHI,AI 應用軟體 (AI Apps),97.2,82.6,55.0,42.2,74.5,56.6,-80.5,True,False,23.76,12554227495.4158,False,2026-07-30
MRSH,Financial,Insurance,88.3,75.7,46.1,42.2,66.4,64.6,-7.5,True,False,191.51,91390727313.28021,False,2026-07-30
CERT,"Consumer, Non-cyclical",Biotechnology,92.9,90.2,51.4,41.5,75.2,65.8,-42.8,True,False,7.78,1210292682.8787537,False,2026-07-30
GM,"Consumer, Cyclical",Auto Manufacturers,94.7,79.9,53.8,41.0,72.4,67.5,-2.1,True,False,88.4,79953517604.48352,False,2026-07-30
CTAS,"Consumer, Non-cyclical",Commercial Services,96.1,88.6,55.3,40.8,76.8,63.3,-7.7,True,False,206.79,82746395443.46619,True,2026-07-30
PCTY,"Consumer, Non-cyclical",Commercial Services,97.6,89.9,57.2,40.4,78.4,64.5,-26.8,True,False,136.71,7320008528.667694,True,2026-07-30
JEF,Financial,Diversified Finan Serv,78.3,74.5,38.0,40.3,60.7,50.0,-19.9,False,True,55.09,12701124644.569485,False,2026-07-30
BLK,Financial,Diversified Finan Serv,88.6,52.9,50.9,37.7,59.2,61.1,-7.2,False,False,1098.37,170242284659.11658,False,2026-07-30
NFG,Utilities,Gas,75.0,41.7,37.5,37.5,46.7,59.6,-13.5,False,False,82.47,7837566420.149963,True,2026-07-30
APPF,Technology,Software,75.9,44.1,38.8,37.1,48.3,54.1,-45.2,False,False,176.02,6234099083.157715,False,2026-07-30
XRAY,"Consumer, Non-cyclical",Healthcare-Products,98.1,86.6,61.1,37.0,78.7,62.4,-8.7,False,False,13.74,2752488578.568861,True,2026-07-30
EMR,Industrial,Electronics,75.3,65.5,38.9,36.4,56.8,59.1,-7.3,False,False,148.64,83253263658.14209,True,2026-07-30
SCHW,Financial,Diversified Finan Serv,82.0,75.1,45.7,36.3,64.7,63.6,-2.0,False,False,104.33,181444010629.7622,False,2026-07-30
MA,Financial,Diversified Finan Serv,86.0,75.3,49.8,36.2,67.2,72.4,-3.0,False,False,577.35,510137117112.37854,False,2026-07-30
CCC,Technology,Software,89.5,72.4,54.2,35.4,68.5,60.1,-39.6,False,False,6.06,3556859614.574993,False,2026-07-30
RJF,Financial,Diversified Finan Serv,85.7,69.6,50.7,35.0,65.3,66.8,-1.2,False,False,174.97,33611737234.49707,False,2026-07-30
ARES,Financial,Diversified Finan Serv,82.9,51.6,48.1,34.9,56.4,52.4,-33.2,False,False,124.12,27991335987.2446,False,2026-07-30
BDX,"Consumer, Non-cyclical",Pharmaceuticals,80.0,73.3,46.2,33.8,63.8,63.7,-9.6,False,False,165.45,45588162806.26735,False,2026-07-30
PCAR,"Consumer, Cyclical",Auto Manufacturers,85.3,80.4,51.6,33.7,69.9,63.7,-3.2,False,False,133.76,70396043100.0634,False,2026-07-30
NCNO,Technology,Software,77.4,45.9,44.2,33.2,51.5,59.9,-43.8,False,False,18.38,2013583129.0595055,False,2026-07-30
HIG,Financial,Insurance,76.0,57.8,42.9,33.1,55.5,59.6,-1.8,False,False,143.05,39214414637.58087,True,2026-07-30
JLL,Financial,Real Estate,90.5,76.5,57.6,32.9,71.7,72.2,0.0,False,False,361.72,16781484005.632782,False,2026-07-30
ZBH,"Consumer, Non-cyclical",Healthcare-Products,89.8,76.8,57.1,32.7,71.5,58.9,-10.9,False,False,94.96,18371197113.599808,True,2026-07-30
PATH,Technology,Software,77.1,74.2,44.5,32.6,62.9,59.2,-35.9,False,False,12.37,6409147631.125841,False,2026-07-30
BX,Financial,Private Equity,77.3,50.5,45.9,31.4,54.0,55.2,-30.1,False,False,128.07,102447627391.42584,False,2026-07-30
LEA,"Consumer, Cyclical",Auto Parts&Equipment,88.9,71.8,58.8,30.1,70.0,60.6,-1.6,False,False,146.33,7330415928.396866,True,2026-07-30
