Date,NAAIM,NAAIM_MA20,SP500_Price_x,SP500_Price_y
2009-10-07,67.85714285714286,50.844428179526474,,
2009-10-14,74.38235294117646,52.546472655853584,,
2009-10-21,77.83333333333333,53.86506239944333,,
2009-10-28,74.67567567567568,54.358221183227116,,
2009-11-04,64.94444444444444,55.1092895592955,,
2009-11-11,69.20588235294117,57.170972565831434,,
2009-11-18,65.5625,58.6657642324981,,
2009-11-25,67.06896551724138,60.93678007592773,,
2009-12-02,82.1875,63.9158520456247,,
2009-12-09,68.74358974358974,65.48411261388529,,
2009-12-16,75.56756756756756,67.39190275696953,,
2009-12-23,61.083333333333336,66.99606942363621,,
2009-12-30,74.55882352941177,68.1458856001068,,
2010-01-06,70.64864864864865,70.1175072217284,,
2010-01-13,72.97435897435898,71.0056191098403,,
2010-01-20,63.833333333333336,71.46180190553923,,
2010-01-27,61.9054054054054,71.40404187277919,,
2010-02-03,33.17948717948718,69.66301623175356,,
2010-02-10,21.76315789473684,66.71922968204595,,
2010-02-17,36.51428571428571,64.2244894223057,,
2010-02-24,44.54545454545455,63.058905006721275,,
2010-03-03,54.885714285714286,62.08407307394816,,
2010-03-10,51.18918918918919,60.75186586674096,,
2010-03-17,77.3030303030303,60.88323359810869,,
2010-03-24,76.45161290322581,61.45859202104775,,
2010-03-31,83.26470588235294,62.16153319751835,,
2010-04-07,85.91176470588235,63.17899643281247,,
2010-04-14,77.22222222222223,63.68665926806151,,
2010-04-21,81.63888888888889,63.65922871250596,,
2010-04-28,83.90789473684211,64.41744396216856,,
2010-05-05,67.89285714285714,64.03370844093305,,
2010-05-12,42.38636363636363,63.09885995608456,,
2010-05-19,40.38461538461539,61.39014954884474,,
2010-05-26,40.66666666666666,59.89105044974565,,
2010-06-02,27.05,57.59483250102769,,
2010-06-09,34.76190476190476,56.14126107245627,,
2010-06-16,30.416666666666668,54.56682413551933,,
2010-06-23,54.24324324324324,55.62001193870712,,
2010-06-30,36.054054054054056,56.334556746673,,
2010-07-07,13.473684210526317,55.18252667148503,,
2010-07-14,49.85,55.44775394421231,,
2010-07-21,45.333333333333336,54.97013489659325,,
2010-07-28,50.21212121212121,54.921281497739855,,
2010-08-04,59.11111111111112,54.01168553814389,,
2010-08-11,54.67567567567568,52.92288867676639,,
2010-08-18,56.078947368421055,51.56360075106979,,
2010-08-25,43.94444444444444,49.465234737997896,,
2010-09-01,52.78378378378378,48.24331281607598,,
2010-09-08,48.26470588235294,46.57460366574918,,
2010-09-15,42.30303030303031,44.494360444058586,,
2010-09-22,55.294117647058826,43.86442346926867,,
2010-09-29,68.26470588235294,45.15834058156814,,
2010-10-06,76.41666666666667,46.9599431456707,,
2010-10-13,67.13513513513513,48.28336656909413,,
2010-10-20,72.17142857142858,50.53943799766555,,
2010-10-27,57.65625,51.68415525957032,,
2010-11-03,69.47058823529412,53.63685133800169,,
2010-11-11,71.45714285714286,54.49754631869666,,
2010-11-17,66.58974358974359,56.02433079548115,,
2010-11-24,66.66666666666667,58.68397991828816,,
2010-12-01,62.47222222222222,59.31509102939928,,
2010-12-08,63.10526315789474,60.203687520627355,,
2010-12-15,74.74358974358974,61.43026094720077,,
2010-12-22,81.825,62.56595539164522,,
2010-12-29,80.21212121212122,63.84277766846749,,
2011-01-05,78.51351351351352,64.96450597572212,,
2011-01-12,76.88095238095238,66.61133137254751,,
2011-01-19,70.82857142857142,67.5135707547869,,
2011-01-26,76.17647058823529,68.90915899008101,,
2011-02-02,82.125,70.90025747492949,,
2011-02-09,86.27777777777777,72.44944048146544,,
2011-02-16,83.73170731707317,73.22279055320146,,
